GoodFellas,1990,146
The Grifters,1990,114
Home Alone,1990,98
The Hunt for Red October,1990,134
Jacob's Ladder,1990,115
Journey of Hope,1990,110
Ju Dou,1990,95
King of New York,1990,103
Miller's Crossing,1990,115
Misery,1990,107
Presumed Innocent,1990,127
Pretty Woman,1990,119
Reversal of Fortune,1990,120
Total Recall,1990,113
Wild at Heart,1990,126
Barton Fink,1991,116
Beauty and the Beast,1991,84
La Belle Noiseuse,1991,240
Boyz 'N The Hood,1991,107
Bugsy,1991,149
City Slickers,1991,112
Class Action,1991,110
Delicatessen,1991,95
The Double Life of Veronique,1991,98
Enchanted April,1991,95
Fried Green Tomatoes,1991,137
JFK,1991,189
Let Him Have It,1991,115
Mediterraneo,1991,96
My Own Private Idaho,1991,102
Naked Lunch,1991,115
Point Break,1991,117
Raise the Red Lantern,1991,125
Rambling Rose,1991,112
The Rapture,1991,100
The Silence of the Lambs,1991,118
Terminator 2: Judgment Day,1991,137
Thelma & Louise,1991,128
Aladdin,1992,90
Bad Lieutenant,1992,98
Baraka,1992,96
Basic Instinct,1992,127
Batman Returns,1992,126
Belle Epoque,1992,109
Bram Stoker's Dracula,1992,130
The Crying Game,1992,112
A Few Good Men,1992,138
Glengarry Glen Ross,1992,100
Howards End,1992,140
Indochine,1992,153
The Last of the Mohicans,1992,114
Like Water for Chocolate,1992,105
Malcolm X,1992,201
My Cousin Vinny,1992,120
Of Mice and Men,1992,115
The Player,1992,123
Reservoir Dogs,1992,99
A River Runs Through It,1992,123
Scent of a Woman,1992,137
Single White Female,1992,107
The Story of Qiu Ju,1992,100
Unforgiven,1992,131
Wayne's World,1992,95
Age of Innocence,1993,138
Farewell My Concubine,1993,171
The Fugitive,1993,130
Groundhog Day,1993,101
Guilty As Sin,1993,107
In the Line of Fire,1993,128
In the Name of the Father,1993,133
The Joy Luck Club,1993,139
Jurassic Park,1993,126
Menace II Society,1993,97
Mrs. Doubtfire,1993,125
Much Ado About Nothing,1993,111
Tim Burton's) The Nightmare Before Christmas,1993,76
Philadelphia,1993,125
The Piano,1993,121
The Remains of the Day,1993,134
Schindler's List,1993,197
Shadowlands,1993,133
Short Cuts,1993,189
Sleepless in Seattle,1993,105
Trois Couleurs: Bleu,1993,100
True Romance,1993,116
The Adventures of Priscilla: Queen of the Desert,1994,104
Blue Sky,1994,101
Bullets Over Broadway,1994,98
Burnt By the Sun,1994,135
Chungking Express,1994,102
Clerks.,1994,90
Crumb,1994,119
Dumb & Dumber,1994,113
Ed Wood,1994,124
Exotica,1994,103
Forrest Gump,1994,142
Four Weddings and a Funeral,1994,117
Heavenly Creatures,1994,99
Hoop Dreams,1994,171
It Could Happen to You,1994,101
The Last Seduction,1994,110
The Lion King,1994,87
Little Women,1994,115
The Madness of King George,1994,107
Natural Born Killers,1994,120
Il Postino: The Postman,1994,108
The Professional,1994,109
Pulp Fiction,1994,153
Quiz Show,1994,130
The Shawshank Redemption,1994,142
Speed,1994,115
Trial By Jury,1994,107
Trois Couleurs: Blanc,1994,91
Trois Couleurs: Red,1994,99
True Lies,1994,141
Apollo 13,1995,140
Babe,1995,91
Before Sunrise,1995,101
Braveheart,1995,177
The Bridges of Madison County,1995,135
Casino,1995,182
Clueless,1995,97
Dead Man Walking,1995,120
GoldenEye,1995,130
Heat,1995,172
Kids,1995,90
Leaving Las Vegas,1995,112
Losing Isaiah,1995,111
Murder in the First,1995,122
Nixon,1995,190
Pocahontas,1995,84
Safe,1995,121
Sense and Sensibility,1995,135
Se7en,1995,127
Strange Days,1995,145
Toy Story,1995,80
The Usual Suspects,1995,105
Bound,1996,108
Breaking the Waves,1996,159
Crash,1996,98
The English Patient,1996,162
Fargo,1996,97
Independence Day,1996,135
Jerry Maguire,1996,138
Lone Star,1996,130
Mission: Impossible,1996,110
The People vs. Larry Flynt,1996,129
The Pillow Book,1996,126
Primal Fear,1996,129
Scream,1996,111
Secrets & Lies,1996,142
Trainspotting,1996,90
Twister,1996,117
Amistad,1997,155
The Apostle,1997,134
As Good As It Gets,1997,130
Austin Powers: International Man of Mystery,1997,89
Boogie Nights,1997,155
Deconstructing Harry,1997,96
Eve's Bayou,1997,109
The Fifth Element,1997,125
The Full Monty,1997,90
Good Will Hunting,1997,126
Grosse Pointe Blank,1997,107
The Ice Storm,1997,113
In the Company of Men,1997,93
Kiss the Girls,1997,115
Kundun,1997,128
L. A. Confidential,1997,136
Life is Beautiful,1997,122
Lost Highway,1997,135
Open Your Eyes,1997,117
Princess Mononoke,1997,133
